id	filename	md5	size	state
019f09cc-0a29-434b-a43a-1f458548cc82	019f09cc-0a29-434b-a43a-1f458548cc82/6a0185c8-be4c-4273-ac77-4647e46a0e08.rna_seq.augmented_star_gene_counts.tsv	5d1d01d4bca33a8edd96322a6b3785c1	4239451	validated
01ef4ff8-b71e-40bf-bce6-4f854ce84d40	01ef4ff8-b71e-40bf-bce6-4f854ce84d40/5226e424-90ad-46b7-9006-1d7bd713254d.rna_seq.augmented_star_gene_counts.tsv	f02c11ea4197ba961ef3e03cd334eac4	4231655	validated
04414ae9-75ff-40ce-bca3-65986ce49c11	04414ae9-75ff-40ce-bca3-65986ce49c11/9c3d1cc9-3618-40f2-8d7a-bfee636a5182.rna_seq.augmented_star_gene_counts.tsv	cb26af4df0f86db7f6dfdbdf121e4fc2	4244601	validated
05df8980-5345-45e9-9651-e4bdfe1270f0	05df8980-5345-45e9-9651-e4bdfe1270f0/04c477e3-f021-49ac-97d9-4b97674bd84f.rna_seq.augmented_star_gene_counts.tsv	13dc03fd18f224b61d816d1541fbe215	4234179	validated
0a7fb2b5-24c0-4eab-bedc-ba84d3c8395e	0a7fb2b5-24c0-4eab-bedc-ba84d3c8395e/3063073a-b4df-4017-b15a-bad1c22d3a41.rna_seq.augmented_star_gene_counts.tsv	3962abd33f38bafe24999a8d8d62ae47	4222782	validated
0dacffa4-34d3-4e1c-b189-c0dc465d28a8	0dacffa4-34d3-4e1c-b189-c0dc465d28a8/ef1924c4-8986-4235-b135-d3d0fbdbacf0.rna_seq.augmented_star_gene_counts.tsv	f7b23ae93cd2e7d563f38c77b6c23eff	4243485	validated
1373d436-3021-4d0d-8316-687f5249f295	1373d436-3021-4d0d-8316-687f5249f295/e97e8e40-2fb4-43a2-a5db-ddabc84a7937.rna_seq.augmented_star_gene_counts.tsv	621d0af0d08c6d678866af4e5b6db4c4	4243180	validated
18df3508-adb6-4fb8-9610-6d69ea1c71cf	18df3508-adb6-4fb8-9610-6d69ea1c71cf/5f6dbd47-2f8a-4bfb-adb7-20649903c275.rna_seq.augmented_star_gene_counts.tsv	e44f64fd7e14181c403955438f634e19	4227366	validated
19687c96-30a3-4f24-ba15-2fbd1093c49f	19687c96-30a3-4f24-ba15-2fbd1093c49f/b6387b44-c674-48e7-a05a-ace52b7b9a55.rna_seq.augmented_star_gene_counts.tsv	bef598f7cb4503c77d40e7f0c7cf42c2	4249431	validated
197bedd1-cca1-4ee0-aaf5-60b6d303ca12	197bedd1-cca1-4ee0-aaf5-60b6d303ca12/ecd99efd-10c0-44f4-a8ca-6356429ba4b5.rna_seq.augmented_star_gene_counts.tsv	b6a01f48df3386c087a5b0436f9ea113	4235883	validated
